"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786108151848394865","Thu May 02 18:59:02 +0000 2024","0","Semangat timnas. kesempatan terakhir lolos olimpiade #AFCU23AsianCup #shintaeyong #olimpiadeparis https://t.co/R4ILNj4Sk4","1786108151848394865","https://pbs.twimg.com/media/GMmH5KnaYAU6JgO.jpg","","in","Jawa Tengah, Indonesia","0","0","0","https://twitter.com/RAcreativaa/status/1786108151848394865","1402320044592287744","RAcreativaa"
"1786106887257350643","Thu May 02 18:54:00 +0000 2024","1","Marselino Ferarri perlu di ganti atau benahi kerasa banget beban tim anyingg si sanata ketularan si marsel jadi ga tajem #TimnasDay #Ferrari #Marselino #shintaeyong https://t.co/K25JuhmrpK","1786106887257350643","https://pbs.twimg.com/media/GMmGvzqa0AAdVgL.jpg","","in","Indonesia ","0","0","0","https://twitter.com/muhammadanton0/status/1786106887257350643","1535357642628997120","muhammadanton0"
"1786105952711893378","Thu May 02 18:50:18 +0000 2024","0","SHIN TAE YONG INSTRUKSI KEK MANA DAH BUAT LAWAN IRAQ BARUSAN","1786105955144589332","","sssidik","in","Indonesia","0","1","0","https://twitter.com/sssidik/status/1786105955144589332","299468562","sssidik"
"1786105118368358654","Thu May 02 18:46:59 +0000 2024","0","pen punya timnas yg skuadnya dalem kasian shin tae yong mau ganti pemain jg bingung subs sama starternya beda jauh #TimnasDay","1786105118368358654","","","in","Belajar","0","0","0","https://twitter.com/wanthestudent/status/1786105118368358654","1457585865371242500","wanthestudent"
"1786092698832888211","Thu May 02 18:45:13 +0000 2024","14","@gilabola_ina Decision making yang kurang tepat masih sering nembak2 ngawur tapi ya tugasnya Shin Tae Yong aja yang kritik dan marahin soalnya dia lebih paham para pemainnya ketimbang kita penonton layar kaca.","1786104677219864633","","gilabola_ina","in","","0","0","0","https://twitter.com/DzakyAsyandi/status/1786104677219864633","1577576350046883840","DzakyAsyandi"
"1786104178068316200","Thu May 02 18:43:14 +0000 2024","0","Sekarang gw paham kenapa Shin Tae Yong hampir jarang banget ganti pemain.","1786104178068316200","","","in","United States no more","0","0","0","https://twitter.com/IvanSitohang/status/1786104178068316200","103240439","IvanSitohang"
"1786078421866668430","Thu May 02 18:39:34 +0000 2024","0","@idextratime Noh Shin tae yong waktu msh agak muda alias 10 thn yg lalu pas latih futsal wkkwkw https://t.co/Mmc6ImVVNR","1786103251970187619","https://pbs.twimg.com/ext_tw_video_thumb/1571217045286719488/pu/img/LyYyn92ggwKU5pYy.jpg","idextratime","in","Indonesia - Camp Nou","0","0","0","https://twitter.com/Idn_FCB/status/1786103251970187619","2373610040","Idn_FCB"
"1786093215764079023","Thu May 02 18:38:59 +0000 2024","12","@The_RedsIndo @marcengggg Woiii hargai lah yang udah mati matian nyelamatin gawang dari kebobolan lu malah egois capek tau shin Tae Yong ngasih tau luu","1786103108298534966","","The_RedsIndo","in","Garut, Indonesia","0","0","0","https://twitter.com/zaynkasep/status/1786103108298534966","1227247411728277506","zaynkasep"
"1786102711303430168","Thu May 02 18:37:25 +0000 2024","0","Hasil Perebutan Juara 3 Piala Asia U23 Tiket Timnas Indonesia Shin Tae yong ke Olimpiade Prancis 2024 Masih Tertunda #TimnasDay #TimnasU23 #TimnasIndonesia #irakvsindonesia #PialaAsiaU23 #AFCU23AsianCup #AFCU23 https://t.co/doG9aIZeY4","1786102711303430168","","","in","","0","0","0","https://twitter.com/hendras79127758/status/1786102711303430168","1427103474060185602","hendras79127758"
"1786095939234697533","Thu May 02 18:37:23 +0000 2024","0","@andihiyat Fajar dari setiap main dari match 1 piala asia kesalahan trs dia heran kok di panggil trus sama shin tae yong","1786102705825669413","","andihiyat","in","Pekalongan, Indonesia","0","0","0","https://twitter.com/firmanmaula10/status/1786102705825669413","1182336966487969792","firmanmaula10"
